fitness_func,selection,xo,xo_prob,mutation,mut_prob,run,generation,fitness,final nutrients diff,food variety,Additional info,elitism
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,35,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,36,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,37,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,38,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,39,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,40,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,41,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,42,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,43,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,44,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,45,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,46,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,47,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,48,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,49,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,50,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,51,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,52,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,53,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,54,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,55,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,56,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,57,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,58,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,59,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,60,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,61,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,62,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,63,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,64,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,65,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,66,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,67,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,68,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,69,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,70,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,71,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,72,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,73,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,74,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,75,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,76,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,77,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,78,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,79,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,80,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,81,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,82,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,83,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,84,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,85,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,86,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,87,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.2,1,88,1357.8,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}",False
