fitness_func,selection,xo,xo_prob,mutation,mut_prob,run,generation,fitness,final nutrients diff,food variety,Additional info,pop
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,36,27426.9,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,37,26563.2,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,38,26099.1,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,39,25850.5,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,40,25634.7,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,41,25096.6,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,42,24938.7,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,43,24325.5,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,44,24084.6,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,45,24059.3,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,46,23908.6,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,47,23201.4,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,48,23201.4,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,49,22404.6,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,50,22153.5,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,51,22153.5,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,52,21917.9,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,53,21815.5,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,54,21815.5,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,55,21431.3,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,56,20883.9,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,57,20463.0,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,58,20463.0,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,59,20358.9,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,60,19631.3,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,61,19631.3,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,62,19566.8,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,63,19552.3,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,64,19390.4,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,65,19390.4,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,66,19390.4,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,67,19390.4,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,68,18807.2,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,69,18807.2,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,70,18466.8,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,71,18255.1,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,72,18255.1,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,73,18214.6,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,74,17971.6,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,75,17767.1,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,76,17519.8,,,{'fitness_dependent_xo_var': 'uniform_xo'},10
