fitness_func,selection,xo,xo_prob,mutation,mut_prob,run,generation,fitness,final nutrients diff,food variety,Additional info
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,35,9230.7,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,36,8997.999999999998,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,37,8793.8,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,38,8500.599999999999,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,39,8117.799999999999,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,40,7900.2,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,41,7604.700000000001,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,42,7191.499999999999,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,43,7023.399999999999,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,44,6842.8,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,45,6610.099999999999,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,46,6333.7,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,47,6167.1,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,48,5941.0,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,49,5807.8,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,50,5627.799999999999,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
fitness_each_shortfall,fps,fitness_dependent_xo,0.8,swap_mutation,0.15,1,51,5426.599999999999,,,{'fitness_dependent_xo_var': 'adapted_pmx'}
