fitness_func,selection,xo,xo_prob,mutation,mut_prob,run,generation,fitness,final nutrients diff,food variety
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,49,617738781.9,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,50,617738781.9,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,51,595516660.7999998,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,52,573961406.3,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,53,569183192.6,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,54,536628950.59999996,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,55,529537790.1000001,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,56,513951057.70000005,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,57,497263678.90000004,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,58,487111539.4,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,59,457651235.8,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,60,436822919.2,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,61,430002260.4,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,62,427580146.3,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,63,406117590.4,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,64,384505903.1,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,65,384505903.1,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,66,384505903.1,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,67,364343699.9,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,68,357951462.3,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,69,349058919.8000001,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,70,326969911.6,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,71,326969911.6,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,72,321656112.2,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,73,321656112.2,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,74,315431014.1,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,75,298427872.3,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,76,287168944.9,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,77,283456805.6,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,78,274635828.7,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,79,274635828.7,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,80,254465774.30000004,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,81,254465774.30000004,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,82,254465774.30000004,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,83,245974229.80000004,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,84,245974229.80000004,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,85,237332488.80000004,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,86,232413987.1,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,87,232413987.1,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,88,211639687.09999993,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,89,211639687.09999993,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,90,210734388.79999998,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,91,207871755.09999993,,
fitness_sum_excess_shortfall,tournament_sel,single_point_xo,0.8,swap_mutation,0.15,1,92,206094649.09999993,,
