fitness_func,selection,xo,xo_prob,mutation,mut_prob,run,generation,fitness,final nutrients diff,food variety,Additional info
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.15,1,30,1189.1999999999998,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}"
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.15,1,31,1189.1999999999998,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}"
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.15,1,32,1189.1999999999998,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}"
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.15,1,33,1189.1999999999998,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}"
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.15,1,34,1189.1999999999998,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}"
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.15,1,35,1189.1999999999998,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}"
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.15,1,36,1189.1999999999998,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}"
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.15,1,37,1189.1999999999998,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}"
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.15,1,38,1189.1999999999998,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}"
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.15,1,39,1189.1999999999998,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}"
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.15,1,40,1189.1999999999998,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}"
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.15,1,41,1189.1999999999998,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}"
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.15,1,42,1189.1999999999998,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}"
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.15,1,43,1189.1999999999998,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}"
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.15,1,44,1189.1999999999998,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}"
fitness_each_shortfall,tournament_sel,fitness_dependent_xo,0.85,flip_food,0.15,1,45,1189.1999999999998,,,"{'fitness_dependent_xo_var': 'uniform_xo', 'tour_size': 4}"
